run,bias_pitch_deg_mean_hold0
run-20260208-202549 #5 (fix mounting),2.0084423801134803
run-20260208-210113 #6,1.7460044108109347
run-20260208-210614 #7,1.8264885453093243
run-20260208-210808 #8,1.818472587855891
run-20260208-211109 #9,1.7281607553377547
